id,operacional_system,processor,memory,graphics,fk_game_id
4c81547b81064acfb1902be7b06d63661,XP SP2,Intel Pentium D 2.6 GHz | AMD Athlon 64 X2 3800+ 2.0 GHz,1 GB,Nvidia GeForce 6800 XT ATI Radeon HD 2400 Series 256 MB of VRAM DirectX 9.0c compatible,8 GB,4c81547b81064acfb1902be7b06d6366
4c81547b81064acfb1902be7b06d63662,Vista,Intel Core 2 Duo 2.2 GHz | AMD Athlon 64 X2 4400+ 2.3 GHz,2 GB,Nvidia GeForce 9600 GT ATI Radeon HD 3800 series 512 MB of VRAM DirectX 10 compatible,8 GB,4c81547b81064acfb1902be7b06d6366
3fdbd69050ec4091a68481b397f0a5dd1,Windows Vista®/XP,Intel® P3 1.5 GHz or AMD Athlon™ XP,"256 MB RAM, 512 MB RAM required for Windows Vista®",128 MB with Shader Model 2.0 capability (Shader Model 3.0 recommended),,3fdbd69050ec4091a68481b397f0a5dd
3fdbd69050ec4091a68481b397f0a5dd2,TBD,TBD,TBD,TBD,,3fdbd69050ec4091a68481b397f0a5dd
5f82cbea3fdd42e2b9b9dfe8439b96b31,Windows® XP or Vista,1GHz or faster,512+MB RAM,Any 3D graphics accelerator less than 5 years old,100MB,5f82cbea3fdd42e2b9b9dfe8439b96b3
5f82cbea3fdd42e2b9b9dfe8439b96b32,Windows® XP or Vista,1GHz or faster,512+MB RAM,Any 3D graphics accelerator less than 5 years old,100MB,5f82cbea3fdd42e2b9b9dfe8439b96b3
497cdc35842e458ca10a1edae95ae1811,OSX 10.10.5 (Yosemite),2.5 GHz dual-core processor,4GB,NVIDIA GTX 670M 1GB,,497cdc35842e458ca10a1edae95ae181
497cdc35842e458ca10a1edae95ae1812,OSX 10.11 (El Capitan),2.0 GHz quad-core processor,8GB,NVIDIA GTX 750M 2GB,,497cdc35842e458ca10a1edae95ae181
0dfa5a4398bb44c8b1ac34e5f248fab91,"Windows Vista, 7 or 8 (64-bit only)",Dual Core CPU (2.2+ GHz Dual Core CPU or better) ,2 GB RAM,"DirectX 10, Shader Model 4 compliant graphics cards (GeForce 8800 GT 512 MB, GeForce GTS 250, etc)",10 GB available space,0dfa5a4398bb44c8b1ac34e5f248fab9
0dfa5a4398bb44c8b1ac34e5f248fab92,Windows 7 or 8 (64-bit only),Any Quad Core or 3.0+ GHz Dual Core CPU,4 GB RAM,DirectX 11 compliant graphics card (GeForce GTX 480 and above),10 GB available space,0dfa5a4398bb44c8b1ac34e5f248fab9
0f96082fc0b8475db86cba86c8b6a7961,Vista/XP,3Ghz Intel or AMD or any Dual Core,1GB Ram(XP)/2GB Ram,PCI Express SM3 NVidia 6600/ ATI 1300,8GB free space,0f96082fc0b8475db86cba86c8b6a796
0f96082fc0b8475db86cba86c8b6a7962,TBD,TBD,TBD,TBD,TBD,0f96082fc0b8475db86cba86c8b6a796
49bdb24baa564f8c92848abe141124361,Windows XP / Vista / 7 / 8 / 10,2 GHz,512 MB RAM,5 years or younger. Integrated graphics and very low budget cards may not work. Shader Model 3.0 required,,49bdb24baa564f8c92848abe14112436
49bdb24baa564f8c92848abe141124362,Windows XP / Vista / 7 / 8 / 10,2 GHz,512 MB RAM,5 years or younger. Integrated graphics and very low budget cards may not work. Shader Model 3.0 required,,49bdb24baa564f8c92848abe14112436
