id,name,username,bio,location,website,join_date,following,followers,fk_game_id
3731551576,Shadow Complex,shadowcomplex,The modern and masterful sidescroller from @ChAIRGAMES.,@ChAIRGAMES,https://t.co/PhULhHmHkA,2015-09-21T20:02:57.000Z,109,2029,497cdc35842e458ca10a1edae95ae181
80571138,Metro Exodus,MetroVideoGame,"Journey Beyond with us in the tunnels of Metro 2033, Metro: Last Light and Metro Exodus, critically acclaimed FPS survival horror series by @4AGames",Moscow,https://t.co/RvyVu2nC83,2009-10-07T13:03:47.000Z,64,63327,f189ca21d5814aef8402655f5d456bd3
348965503,Playdead,Playdead,Independent Game Developer. Creators of LIMBO and INSIDE. Our current project is a 3rd-person science fiction adventure set in a remote corner of the universe.,"Copenhagen, Denmark",https://t.co/a99qfQTu8J,2011-08-05T09:10:51.000Z,0,42128,73021f8411c9435e8b6f35faacdc2978
545558899,Double Fine,DoubleFine,"Official source of Action Tweets from Double Fine Productions, creators of Psychonauts, Brütal Legend, Broken Age, and Rad. https://t.co/rB5Vt1cEXQ",San Francisco,https://t.co/a2Kv7b8AsZ,2012-04-05T00:32:37.000Z,231,169138,e6dfe28ad2644018aa29f67054ff0391
73731253,Team Meat,SuperMeatBoy,Working on Super Meat Boy Forever for PC/consoles! https://t.co/0t9MEhBpbZ This is only the beginning... Inquiries: press@supermeatboy.com,,https://t.co/qBgBOLnkJF,2009-09-12T20:50:28.000Z,67,130373,9ab78d8a6fe84c3f82b31215390f3c51
973693064412725250,Skybound Games,skyboundgames,"All things Video games from @Skybound Entertainment. 

Find us elsewhere at: https://t.co/X2ozRzHx36","Califórnia, USA",https://t.co/4hON6KHNbV,2018-03-13T22:51:31.000Z,338,32459,7dd66b1bd08e41b1a6bdc3bf472833fa
18429711,Remedy Entertainment,remedygames,"@ControlRemedy, Quantum Break, @alanwake, Max Payne, @PlayCrossfireX single-player campaign. Alan Wake 2 confirmed. Merch: @rmd_store

Header by @loe_loe_lie",Finland,https://t.co/YZHNs9poDU,2008-12-28T16:45:17.000Z,168,142948,c9f0e06579234578aaaa0da9bf74c92e
3317180625,Asmodee Digital,AsmodeeDigital,"Your favorite board games on PC, mobile & consoles.
Support: https://t.co/Zk5X41AgLV 
Press: o.hurtaud@asmodee.com
Influencer: digitalcommunity@asmodee.com","Paris, France",https://t.co/keoNzvuOoC,2015-06-10T12:01:56.000Z,479,9995,6a9694e578ee4e598b16a02ef549b629
116766690,Tomorrow Corporation,TomorrowCorp,"A team of 3 friends making games! Little Inferno, Human Resource Machine, 7 Billion Humans, Welcome to the Information Superhighway, and 2 Unannounced Titles.",Lawless Oil Rig,https://t.co/AxLoa4xEA6,2010-02-23T14:22:40.000Z,1,4819,396c5dd6af134fbc847406a690c96f99
14922225,Ubisoft,Ubisoft,💖🎮 | Support 👉 @UbisoftSupport,Worldwide,https://t.co/n1UBjIM0gd,2008-05-27T15:54:27.000Z,625,9267052,db9fd3c0420240ffbccc5141059824b3
1123342409344012288,QAG | Freshly Frosted OUT NOW!,QuantumApG,"Indie developer of Freshly Frosted, The Bridge, and Tumblestone! 🍩 Publisher for Cozy Grove, Sail Forth, Roundguard, Overpass, and many more!","Seattle, WA",https://t.co/ILZFzNOXwZ,2019-04-30T21:44:35.000Z,2963,10459,674967c55648467ba8e9d163a27170db
115216851,Supergiant Games,SupergiantGames,"Creators of Hades, Pyre, Transistor, and Bastion.

· Hades: https://t.co/wGuEt818t6
· Discord: https://t.co/wA3owJqNia
· Merchandise: https://t.co/irXk5Af05t","San Francisco, CA",https://t.co/VxSUIy8FQd,2010-02-18T00:17:39.000Z,40,350683,2ae6edb2223c4f8c97e9839b5b6497bb
381988690,Subset Games,subsetgames,Subset Games is a micro game studio lead by Justin Ma (@Jarmustard) and Matthew Davis. We made FTL and Into the Breach.,,https://t.co/43lOL0P7jp,2011-09-29T09:10:34.000Z,118,31407,a08681e2143d4c218167e45d76db8de0
38232487,Assassin's Creed,assassinscreed,"Welcome to the official Assassin's Creed Twitter.  
ESRB: MATURE 17+ 

Join the discussion on https://t.co/NwTkDjkZ0D

Complete the 12 Trials now: https://t.co/w0sauKdqqr",Ninth Century AD,https://t.co/8zOQ2xgfkr,2009-05-06T17:41:04.000Z,297,4449399,101627971acc4962b8353df58ff0da2f
189211212,11 bit studios,11bitstudios,A video games company devoted to creating and publishing meaningful games able to leave a strong mark on a widely understood pop culture.,Worldwide,https://t.co/KRVvfyVd8z,2010-09-10T17:29:22.000Z,1143,38862,2263134da81944f4aedb1977049ef2da
1382360820,Jackbox Games,jackboxgames,"Developer and publisher of YOU DON’T KNOW JACK®, Fibbage™, Quiplash, and The Jackbox Party Starter. (Now available!) Connect with us: https://t.co/y6h0aBU38B",Chicago,https://t.co/FEr4qI9F9o,2013-04-26T16:54:53.000Z,542,44680,2721d42f51ca4f38bb6280b8e1411756
2330202776,The Talos Principle,TalosPrinciple,"Official The Talos Principle game profile. developed  by @Croteam, written by @TomJubert and @JonasKyratzes, published by @DevolverDigital",In your head,https://t.co/9UkmWIkkAn,2014-02-06T12:14:07.000Z,16,4103,afe468383a89436e889fd8d9d06d827e
2501323975,Unreal Tournament,utgame,https://t.co/DABb8REZLc,"Cary, NC",http://t.co/DABb8RWACK,2014-05-17T11:21:03.000Z,281,14176,9a85e064672249f6976b92c2d8db56b5
19636255,Tom Happ,AxiomVerge,"Maker of Axiom Verge 1&2, spouse to @WastedFashion, dad.  He/Him.
AV2 is out NOW for Steam, Switch, PS4, PS5, and EGS!  https://t.co/AzxP44tZAM","Bell Canyon, CA",https://t.co/ybapDcyVY8,2009-01-28T04:35:10.000Z,823,20089,57a252222c5a4dd490b1555e7b84db4c
46604441,frictionalgames,frictionalgames,"Creators of the Penumbra and Amnesia series, and SOMA. Amnesia: Rebirth is out now on PC and PS4. 
📣Currently looking for our new Animator! 📣",Sweden,https://t.co/iL1GiAANRi,2009-06-12T07:26:03.000Z,73,40180,86297ebbb27c4bfab8b01aacfe906bed
2833225902,Rebel Galaxy,RebelGalaxy,"A 5-person indie game studio currently making Rebel Galaxy Outlaw. Pew Pew! Drop by our Discord, yeah? https://t.co/ZZE4Lk0qMQ",Seattle,https://t.co/ybLsr5e9Ir,2014-09-26T20:57:24.000Z,341,8433,bc519a47c9b44920828c718e367e20b5
3028518597,Raw Fury 👁 Dream Cycle 1.0 OUT NOW!,RawFury,Indie Game (un)Publisher | Games: Kingdom • Townscaper • Sable • Atomicrops • Call of the Sea • Per Aspera • Wolfstride • Star Renegades • Backbone • And More!, discord.gg/rawfury,https://t.co/0YHpcLbLSz,2015-02-10T18:48:33.000Z,535,41984,d19627e74ac445bcbcfc8157a35d6f80
21993907,Darksiders,darksiders,Let there be Strife! Darksiders Genesis is OUT NOW on all platforms!,The Forbidden Land,https://t.co/469VZUS9me,2009-02-26T09:34:43.000Z,32,32803,95e743aa01c6410680916acb796246b5
399404516,Rainbow Six Siege,Rainbow6Game,"The official Rainbow Six Twitter account. ESRB Rating: Mature with Blood, Drug Reference, Strong Language, and Violence. For Esports, follow @R6esports!",Hereford Base,https://t.co/78EgmnKlxL,2011-10-27T13:05:31.000Z,318,2220290,9f47dad590a44949b1e2eb519adc0ca1
118921133,The Witness,witnessgame,"A video game about puzzles and adventure.  Developed by the small team at Thekla Inc, designed and produced by Jonathan Blow (designer of Braid).",,http://t.co/N8E95Bsdbu,2010-03-02T03:27:02.000Z,18,15162,ea1854d7e3004420ba3f0759384514c6
250805152,Aspyr,AspyrMedia,"Game publisher & development partner. We maximize the potential of every game, from #Indie to #AAA! 🎮

Join our Community: https://t.co/TcQNXYaDkW","Austin, TX",https://t.co/y9z7zuojJ7,2011-02-11T21:03:48.000Z,994,29135,f060c900b80441fda67a7d986c327905
1684427515,SUPERHOT,SUPERHOTTHEGAME,"Welcome to Official SUPERHOT Twitter account. 
Time moves only when you move.","Łódź, Poland",http://t.co/r5JwHZo9GY,2013-08-19T23:18:07.000Z,115,24725,942e9424124145fca7fadefefb9b70e6
1858467265,Alx Preston | Heart Machine,HeartMachineZ,"Creator of Heart Machine, Hyper Light Drifter, Solar Ash and other bits. Co-Founder of Glitch City",Los Angeles,https://t.co/1dTuVuKrS1,2013-09-12T20:12:04.000Z,672,39419,4e7c7a4652c247ab8019906f7d60739c
2541532230,Enter/Exit the Gungeon,DodgeRollGames,"We make video games with dodge rolls. Enter the Gungeon is our first, out now on Nintendo Switch, PlayStation 4, Xbox One, and PC.",The Gungeon,https://t.co/LU8KNzuE7i,2014-06-02T13:49:59.000Z,182,56920,e820a1ab24ca4bd2b725ba33194489d4
2616923994,Squad,JoinSquad,"Squad is a tactical multiplayer shooter with a heavy focus on teamwork, communication and realism.",joinsquad.com,https://t.co/wMdOVw7dVm,2014-07-11T08:14:25.000Z,208,35167,6bddda6e5d6c4fd8abcdd664b0f30f61
1164405673,Giant Squid,GiantSquidology,The official home of Giant Squid on Twitter: The team of award-winning game developers that created ABZÛ and The Pathless. https://t.co/d4MCpIQiTr,California,https://t.co/Yc2YbvG8DE,2013-02-09T23:41:35.000Z,206,25942,6820f3467b8a4d2aa9b7d76d0fa9f441
86395621,NVIDIA GeForce,NVIDIAGeForce,"The ultimate gaming experience for superfans of PC gaming. 

Our new GeForce RTX 30 Series is the #UltimatePlay World's Fastest GPUs.",,https://t.co/LESmvISoL0,2009-10-30T21:01:49.000Z,1272,2395541,f00a248b062a4adca9360c2c7d679237
593755029,Watch Dogs: Legion,watchdogsgame,#WatchDogsLegion Available now. Rated M.,,https://t.co/NGOKwsxvzq,2012-05-29T12:44:17.000Z,489,582579,972849b01e744bddb496223c8ac5c7b7
733732977528705025,Steep,Steep_Game,"A massive open-world, action-sports mountain playground! Available now on PlayStation 4, Xbox One and PC | #SteepGame | #SteepPhotoMode","Annecy, France",https://t.co/zDiUNOHLax,2016-05-20T18:55:48.000Z,25,15167,afc09953666043cdbece0b2a65989bc3
4829606763,CONAN EXILES,ConanExiles,"Survive. Build. Dominate.The official twitter feed for Conan Exiles, the Conan the Barbarian survival game developed by @Funcom.",The Exiled Lands,https://t.co/zy2vqJyscI,2016-01-20T13:39:55.000Z,40,63503,b9229b0d1167444f87b297d2ff0827bd
3298335524,No Code,_NoCode,"Entertainment Production Studio. Creators of @BAFTA Winning games ‘Observation', ‘Stories Untold' with @devolverdigital and... ❓  with @A_i","Glasgow, Scotland",https://t.co/NdaV3jfSpb,2015-07-27T18:18:24.000Z,215,8129,112d4a6bbc254c7fb58ca5597e40f093
